Server,Authentication_Info,NTS_Info
time.apple.com,No authentication information found,NTS not supported
time.asia.apple.com,No authentication information found,NTS not supported
time.euro.apple.com,No authentication information found,NTS not supported
time.cloudflare.com,No authentication information found,NTS supported
time.facebook.com,No authentication information found,NTS not supported
time1.facebook.com,No authentication information found,NTS not supported
time2.facebook.com,No authentication information found,NTS not supported
time3.facebook.com,No authentication information found,NTS not supported
time4.facebook.com,No authentication information found,NTS not supported
time5.facebook.com,No authentication information found,NTS not supported
time.android.com,No authentication information found,NTS not supported
time.google.com,No authentication information found,NTS not supported
time1.google.com,No authentication information found,NTS not supported
time2.google.com,No authentication information found,NTS not supported
time3.google.com,No authentication information found,NTS not supported
time4.google.com,No authentication information found,NTS not supported
time.windows.com,No authentication information found,NTS not supported
time-a-b.nist.gov,No authentication information found,NTS not supported
time-a-g.nist.gov,No authentication information found,NTS not supported
time-a-wwv.nist.gov,No authentication information found,NTS not supported
time-b-b.nist.gov,No authentication information found,NTS not supported
time-b-g.nist.gov,No authentication information found,NTS not supported
time-b-wwv.nist.gov,No authentication information found,NTS not supported
time-c-b.nist.gov,No authentication information found,NTS not supported
time-c-g.nist.gov,No authentication information found,NTS not supported
time-c-wwv.nist.gov,No authentication information found,NTS not supported
time-d-b.nist.gov,No authentication information found,NTS not supported
time-d-g.nist.gov,No authentication information found,NTS not supported
time-d-wwv.nist.gov,No authentication information found,NTS not supported
time-e-b.nist.gov,No authentication information found,NTS not supported
time.nist.gov,No authentication information found,NTS not supported
utcnist.colorado.edu,No authentication information found,NTS not supported
utcnist2.colorado.edu,No authentication information found,NTS not supported
pool.ntp.org,No authentication information found,NTS not supported
hora.roa.es,No authentication information found,NTS not supported
minuto.roa.es,No authentication information found,NTS not supported
ntp.fiord.ru,No authentication information found,NTS not supported
ntp.fizyka.umk.pl,No authentication information found,NTS not supported
ntp.ix.ru,No authentication information found,NTS not supported
ntp.se,No authentication information found,NTS not supported
ntp.time.in.ua,No authentication information found,NTS not supported
ntp.yycix.ca,No authentication information found,NTS not supported
ntp0.nl.uu.net,No authentication information found,NTS not supported
ntp1.as34288.net,No authentication information found,NTS not supported
ntp1.fau.de,No authentication information found,NTS not supported
ntp1.hetzner.de,No authentication information found,NTS not supported
ntp1.inrim.it,No authentication information found,NTS not supported
ntp1.jst.mfeed.ad.jp,No authentication information found,NTS not supported
ntp1.net.berkeley.edu,No authentication information found,NTS not supported
ntp1.niiftri.irkutsk.ru,No authentication information found,NTS not supported
ntp1.nl.uu.net,No authentication information found,NTS not supported
ntp1.oma.be,No authentication information found,NTS not supported
ntp1.qix.ca,No authentication information found,NTS not supported
ntp1.stratum1.ru,No authentication information found,NTS not supported
ntp1.time.nl,No authentication information found,NTS not supported
ntp1.vniiftri.ru,No authentication information found,NTS not supported
ntp2.fau.de,No authentication information found,NTS not supported
ntp2.hetzner.de,No authentication information found,NTS not supported
ntp2.inrim.it,No authentication information found,NTS not supported
ntp2.jst.mfeed.ad.jp,No authentication information found,NTS not supported
ntp2.net.berkeley.edu,No authentication information found,NTS not supported
ntp2.niiftri.irkutsk.ru,No authentication information found,NTS not supported
ntp2.oma.be,No authentication information found,NTS not supported
ntp2.qix.ca,No authentication information found,NTS not supported
ntp2.stratum2.ru,No authentication information found,NTS not supported
ntp2.time.in.ua,No authentication information found,NTS not supported
ntp2.time.nl,No authentication information found,NTS not supported
ntp21.vniiftri.ru,No authentication information found,NTS not supported
ntp3.hetzner.de,No authentication information found,NTS not supported
ntp3.stratum2.ru,No authentication information found,NTS not supported
ntp4.stratum2.ru,No authentication information found,NTS not supported
ntp5.stratum1.ru,No authentication information found,NTS not supported
ntps1-0.cs.tu-berlin.de,No authentication information found,NTS not supported
ntps1-0.uni-erlangen.de,No authentication information found,NTS not supported
ntps1-1.uni-erlangen.de,No authentication information found,NTS not supported
ptbtime1.ptb.de,No authentication information found,NTS supported
ptbtime2.ptb.de,No authentication information found,NTS supported
rustime02.rus.uni-stuttgart.de,No authentication information found,NTS not supported
svl2.ntp.se,No authentication information found,NTS not supported
tempus2.gum.gov.pl,No authentication information found,NTS not supported
time-a.as43289.net,No authentication information found,NTS not supported
time-b.as43289.net,No authentication information found,NTS not supported
time-c.as43289.net,No authentication information found,NTS not supported
time.esa.int,No authentication information found,NTS not supported
time.fu-berlin.de,No authentication information found,NTS not supported
time.nrc.ca,No authentication information found,NTS not supported
time.ufe.cz,No authentication information found,NTS not supported
time1.esa.int,No authentication information found,NTS not supported
timekeeper.isi.edu,No authentication information found,NTS not supported
tock.usask.ca,No authentication information found,NTS not supported
ts1.aco.net,No authentication information found,NTS not supported
vniiftri.khv.ru,No authentication information found,NTS not supported
vniiftri2.khv.ru,No authentication information found,NTS not supported
x.ns.gin.ntt.net,No authentication information found,NTS not supported
y.ns.gin.ntt.net,No authentication information found,NTS not supported
zeit.fu-berlin.de,No authentication information found,NTS not supported
ntp2.usno.navy.mil,No authentication information found,NTS not supported
tick.usno.navy.mil,No authentication information found,NTS not supported
tock.usno.navy.mil,No authentication information found,NTS not supported
ntp.ubuntu.com,No authentication information found,NTS not supported
